"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2023","3,001.0","3,033.0","3,048.0","2,992.0","137.97K","-0.17%"
"29/01/2023","3,006.0","3,029.0","3,100.0","3,005.0","100.75K","-1.02%"
"22/01/2023","3,037.0","3,014.0","3,068.0","3,013.0","48.57K","0.26%"
"15/01/2023","3,029.0","3,053.0","3,060.0","3,007.0","71.99K","-0.79%"
"08/01/2023","3,053.0","3,010.0","3,055.0","2,991.0","82.70K","1.50%"
"01/01/2023","3,008.0","2,991.0","3,021.0","2,964.0","57.30K","2.21%"
"25/12/2022","2,943.0","2,927.0","2,945.0","2,902.0","19.25K","1.38%"
"18/12/2022","2,903.0","2,864.0","2,940.0","2,861.0","97.18K","1.26%"
"11/12/2022","2,867.0","2,847.0","2,869.0","2,798.0","82.49K","0.42%"
"04/12/2022","2,855.0","2,850.0","2,858.0","2,823.0","35.29K","0.28%"
"27/11/2022","2,847.0","2,826.0","2,867.0","2,822.0","145.13K","0.92%"
"20/11/2022","2,821.0","2,874.0","2,881.0","2,810.0","62.68K","-1.67%"
"13/11/2022","2,869.0","2,915.0","2,943.0","2,868.0","87.80K","-1.56%"
"06/11/2022","2,914.5","2,875.0","2,935.0","2,833.0","239.98K","0.88%"
"30/10/2022","2,889.0","2,763.0","2,889.0","2,759.0","377.49K","4.71%"
"23/10/2022","2,759.0","2,842.0","2,848.0","2,757.0","83.35K","-3.40%"
"16/10/2022","2,856.0","2,856.0","2,869.0","2,820.0","241.88K","-0.28%"
"09/10/2022","2,864.0","2,968.0","2,968.0","2,855.0","112.68K","-4.09%"
"02/10/2022","2,986.0","2,898.0","2,991.0","2,884.0","156.06K","2.16%"
"25/09/2022","2,923.0","2,985.0","3,013.0","2,898.0","724.05K","-0.44%"
"18/09/2022","2,936.0","2,853.0","2,936.0","2,837.0","243.90K","2.77%"
"11/09/2022","2,857.0","2,875.0","2,889.0","2,823.0","99.67K","-1.07%"
"04/09/2022","2,888.0","2,908.0","2,923.0","2,872.0","58.22K","0.07%"
"28/08/2022","2,886.0","2,881.0","2,893.0","2,856.0","221.20K","0.40%"
"21/08/2022","2,874.5","2,873.0","2,907.0","2,851.0","183.51K","-0.36%"
"14/08/2022","2,885.0","2,885.0","2,893.0","2,850.0","136.65K","-0.02%"
"07/08/2022","2,885.5","2,862.0","2,896.0","2,844.0","171.02K","0.45%"
"31/07/2022","2,872.5","2,819.0","2,884.0","2,805.0","88.97K","1.59%"
"24/07/2022","2,827.5","2,807.0","2,838.0","2,770.0","143.23K","0.71%"
"17/07/2022","2,807.5","2,808.0","2,819.0","2,739.0","238.57K","0.12%"
"10/07/2022","2,804.0","2,830.0","2,864.0","2,796.0","159.54K","-0.78%"
"03/07/2022","2,826.0","2,917.0","2,934.0","2,807.0","149.72K","-3.48%"
"26/06/2022","2,928.0","2,916.0","2,938.0","2,884.0","151.75K","0.79%"
"19/06/2022","2,905.0","2,937.0","2,940.0","2,888.0","217.14K","-1.26%"
"12/06/2022","2,942.0","2,960.0","2,972.0","2,904.0","167.36K","-0.19%"
"05/06/2022","2,947.5","2,884.0","2,949.0","2,861.0","175.71K","2.45%"
"29/05/2022","2,877.0","2,872.0","2,879.0","2,828.0","168.08K","0.42%"
"22/05/2022","2,865.0","2,876.0","2,910.0","2,847.0","574.19K","-0.71%"
"15/05/2022","2,885.5","2,883.0","2,890.0","2,835.0","154.74K","-0.12%"
"08/05/2022","2,889.0","2,974.0","2,974.0","2,883.0","324.48K","-3.15%"
"01/05/2022","2,983.0","2,894.0","3,007.0","2,879.0","175.11K","0.74%"
"24/04/2022","2,961.0","2,935.0","2,983.0","2,897.0","409.50K","1.02%"
